,Name,sex,dob,dod,Service_start,Service_End,Election,Party,Religion,Education ,Highest edcation,Birthplace,profession,Civilian Awards & Honours,Important points,Service_End ,Num_Service_Days,Num_Service_years,Num_Ser_Months,Service_start_Age,retairment_Age,Service_start_Age_day,retairment_Age_day,age_at_death,age_at_death_days
0,Dr. Rajendra Prasad,M,1884-03-12,1963-02-28,1950-01-26,1962-05-13,"[1952, 1957]",INC,Hinduism ,"[M.A , LL.D]",LL.D ,Bihar,"[Politician, Lawyer, Journalist ]",[Bharat Ratna],"1.  First president of the Repblic  of India.
2.  Only person to have held office for two terms.
3.  Indian Independence Movement was led by him.",1962-05-13,4490,12.301369863013699,147.5184295365408,65,78,24060,28550,78,28841
1,Dr. Sarvepalli Radhakrishnan,M,1888-05-09,1975-04-17,1962-05-13,1967-05-13,1962,Independent,Hinduism ,"[M.A, D. Litt. (Hony.), LL.D., D.C.L, Litt. D., D.L, F.R.S.L, F.B.A., Hony. Fellow, All Souls College (Oxford)]",LL.D,Tamil NaduÂ ,"[Philosopher, academic]",[Bharat Ratna],The man whose birthday is observed and celebrated as the Teachers’ Day.,1967-05-13,1826,5.002739726027397,59.99301833713218,74,79,27031,28857,86,31753
2,Dr. Zakir Husain,M,1897-08-02,1969-05-03,1967-05-13,1969-05-03,1967,Independent,Islam,"[M.A, Ph.D]",Ph. D,HyderabadÂ ,"[Politician , Economist]","[Bharat Ratna , Padma Vibhushan]","1.  First Muslim President of India.
2.  First president who died while Serving.",1969-05-03,721,1.9753424657534246,23.688371424464567,69,71,25485,26206,71,26206
3,Shri Varahagiri Venkata Giri(acting),M,1894-10-08,1980-06-24,1969-05-03,1969-07-20,,Acting_President,Hinduism ,"[LL.D, Barrister-at-Law, D. Litt]",LL.D,Odisha,"[Lawyer ,Activist , Politician ]",[Bharat Ratna],,1969-07-20,78,0.2136986301369863,2.562680958541243,74,74,27235,27313,85,31305
4,Shri Mohammad Hidayatullah,M,1905-12-17,1992-09-18,1969-07-20,1969-08-24,,Acting_President,Islam,"[Barrister-at-Law , M.A, LL.D]",LL.D,Uttar Pradesh,"[Lawyer, Politician , Academician]",,,1969-08-24,35,0.0958904109589041,1.149920942935173,63,63,23226,23261,86,31687
5,Shri Varahagiri Venkata Giri,M,1894-10-08,1980-06-24,1969-08-24,1974-08-24,1969,Independent,Hinduism ,"[LL.D, Barrister-at-Law, D. Litt]",LL.D,Odisha,"[Lawyer ,Activist , Politician ]",[Bharat Ratna],,1974-08-24,1826,5.002739726027397,59.99301833713218,74,79,27348,29174,85,31305
6,Dr. Fakhruddin Ali Ahmed,M,1905-05-13,1977-02-11,1974-08-24,1977-02-11,1974,INC,Islam,"[M.D, practiced Law]",M.D,Delhi,Lawyer,,Second president  who died while Serving ,1977-02-11,902,2.4712328767123286,29.635105443643607,69,71,25305,26207,71,26207
7,Shri Basappa Danappa Jatti,M,1912-09-10,2002-06-07,1977-02-11,1977-07-25,,Acting_President,Hinduism ,"[B.A, LL.B]",LL.B,Karnataka,"[Politician,Lawyer] ",,He was  the Chief minister of  Mysore,1977-07-25,164,0.44931506849315067,5.388200989753383,64,64,23530,23694,89,32777
8,Shri Neelam Sanjiva Reddy,M,1913-05-19,1996-06-01,1977-07-25,1982-07-25,1977,Janata Party,Hinduism ,[LL.D],LL.D,Andhra Pradesh,[Politician] ,,"From the post of Lok Sabha Speaker, he became the president",1982-07-25,1826,5.002739726027397,59.99301833713218,64,69,23443,25269,83,30329
9,Giani Zail Singh,M,1916-05-05,1994-12-25,1982-07-25,1987-07-25,1982,INC,Sikh,,,Panjab,[Politician],,He was  Chief Minister of Punjab,1987-07-25,1826,5.002739726027397,59.99301833713218,66,71,24187,26013,78,28723
